model,predictors,n,k_params,r2,adj_r2,aic,bic,rmse,cv_r2,cv_rmse,cv_n,beta_intercept,beta_logMstar,beta_logMh,beta_log_g_ext_proxy,beta_log_rs,beta_log_xi
baseline_mass_gext,"logMstar,logMh,log_g_ext_proxy",49,4,0.15014010490694218,0.09348277856740494,-109.85237125590035,-102.28509006345784,0.30041956935283093,-0.06431014622574138,0.3361929892718358,49,0.03815958278769176,-0.16154651492956426,0.06189598028130504,-0.06773221110555881,,
plus_xi,"logMstar,logMh,log_g_ext_proxy,log_xi",49,5,0.15965792105906007,0.08326318660988363,-108.4042318362194,-98.94513034566626,0.2987325918750859,-0.09033739993696921,0.34027888897239517,49,-1.4099271857624984,0.012650932866563712,0.10298168314535992,-0.11406153567085021,,-0.5514937633517124
plus_rs,"logMstar,logMh,log_g_ext_proxy,log_rs",49,5,0.15014010490694218,0.07288011444393694,-107.85237125590035,-98.39326976534721,0.30041956935283093,-0.06431014622574094,0.3361929892718357,49,0.009743137270530819,-0.1615465149295637,0.0652344595712094,-0.06773221110555837,-0.007686445026641277,
plus_both,"logMstar,logMh,log_g_ext_proxy,log_rs,log_xi",49,6,0.15965792105905985,0.061943725833369156,-106.4042318362194,-95.05331004755564,0.2987325918750859,-0.09033739993697609,0.3402788889723962,49,-0.10167823919029975,0.012650932866568943,-0.050716709974726715,-0.11406153567085121,0.3538719718804788,-0.5514937633517282
