PlateIFU	MaNGAId	RAJ2000	DEJ2000	NSAz	NSAzdist	NSAsth50	NSAeth50r	NSAsMass	NSAeMass	NSAsn	z	zmin	zmax	MnGtarg1
"8993-12701 "	"1-612080"	164.863946	46.12239	0.022165	0.022305	20.5401	25.4461	6.5087001E10	4.3276001E10	1.43166	0.022165			0
"8993-9101  "	"1-277470"	165.13845	46.34362	0.021582	0.021726	7.75146	7.87102	6.8388E8	5.3899002E8	0.700106	0.021582	0.01273	0.022624	1168
"8993-12703 "	"1-277443"	165.25758	46.565467	0.022172	0.02232	71.033	8.53833	5.7072001E10	1.11340006E9	0.5	0.022172	0.015305	0.023983	1040
"8257-3702  "	"1-277516"	166.228525	46.975145	0.079517	0.079672	4.91143	4.83053	1.41179994E11	1.00239999E11	6.0	0.079517	0.043142	0.081002	1040
"8466-12705 "	"1-257100"	171.301925	45.066769	0.045258	0.045384	5.30097	7.20671	7.2028001E9	6.6986998E9	1.29061	0.045258	0.021079	0.027874	2336
"8945-6101  "	"1-279381"	173.637733	46.166338	0.033343	0.033491	4.28983	5.41735	1.75880008E10	1.34630001E10	3.77353	0.033343	0.023656	0.030889	4224
"8945-9102  "	"1-279410"	173.618706	46.36056	0.033842	0.033994	8.45567	8.12882	5.3822001E10	3.09369999E10	6.0	0.033842	0.027366	0.039373	1040
"8466-1902  "	"1-256819"	169.353945	44.563296	0.066254	0.066369	1.97714	2.11771	4.6176002E10	4.1401E10	6.0	0.066254	0.028372	0.042694	2080
"8466-6102  "	"1-256647"	169.442543	44.892964	0.048763	0.048883	1.98624	2.17529	1.66529997E10	1.50570004E10	3.23873	0.048763	0.023528	0.030698	2336
"8466-9101  "	"1-256860"	170.214847	44.597412	0.024586	0.024702	6.51247	8.5502	2.91710003E9	2.5552E9	0.936493	0.024586	0.017767	0.025412	1168
"8466-3701  "	"1-575898"	168.377035	44.665941	0.068132	0.068248	2.70852	2.8206	5.3814002E10	3.9969001E10	5.99578	0.068132	0.028197	0.042095	2080
"8466-6101  "	"1-277992"	168.094031	44.816037	0.122333	0.122451	3.24484	3.40315	1.44219996E11	1.05410003E11	6.0	0.122333	0.044777	0.083821	2080
"8466-3704  "	"1-256832"	169.513447	45.113029	0.107238	0.107362	3.81815	3.94066	1.97519999E11	1.40160008E11	6.0	0.107238	0.081166	0.125656	1040
"8466-6104  "	"1-279123"	169.669553	45.552726	0.112604	0.112736	6.61373	6.50446	2.18530005E11	1.68100004E11	6.0	0.112604	0.095447	0.137107	1040
"8466-3703  "	"1-279120"	169.539016	45.618639	0.111133	0.111267	8.30195	9.26677	1.97779997E11	1.33360001E11	6.0	0.111133	0.059525	0.104178	4096
"8946-3704  "	"1-279086"	170.355028	46.289228	0.024428	0.024574	3.66822	4.14926	1.22939996E10	1.10630001E10	3.30134	0.024428	0.022302	0.029119	1552
"8946-3703  "	"1-279073"	170.588145	46.430504	0.03227	0.032419	5.03615	4.81596	3.6222001E10	2.61150003E10	6.0	0.03227	0.026036	0.035596	1040
"8466-12703 "	"1-279002"	171.509067	45.4339	0.034318	0.034451	4.54868	6.21156	1.36529997E9	1.33209997E9	1.01777	0.034318	0.015242	0.023948	2336
"8945-12704 "	"1-279412"	173.61962	46.88629	0.040024	0.040185	7.50949	8.5019	3.5544E9	3.7032E9	0.529408	0.040024	0.018648	0.025983	2336
"8945-9101  "	"1-279011"	172.309131	46.39005	0.040554	0.040704	3.62516	4.92941	3.55150003E9	4.3386998E9	1.0195	0.040554	0.019891	0.026877	2080
